year,rank,name,character 1,character 2,show,pairs,canon,rpf
2022,1,Byler,Will Byers,Mike Wheeler,Stranger Things,M/M,No,No
2013,1,MakoHaru,Nanase Haruka,Tachibana Makoto,Free!,M/M,No,No
2014,8,MakoHaru,Makoto Tachibana,Haruka Nanase,Free!,M/M,No,No
2013,4,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2014,1,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2015,3,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2016,4,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2017,11,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2018,11,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2019,20,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2020,10,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2021,1,Destiel,Dean Winchester,Castiel,Supernatural  ,M/M,Yes,No
2022,3,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2019,1,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2020,5,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2022,18,Ineffable Husbands,Aziraphale,Crowley,Good Omens,M/M,No,No
2015,8,Clexa,Clarke Griffin,Commander Lexa,The 100,F/F,Yes,No
2016,1,Clexa,Clarke Griffin,Commander Lexa,The 100,F/F,Yes,No
2016,10,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2017,19,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2018,2,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2019,7,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2020,1,Reylo,Rey,Kylo Ren,the Star Wars universe,F/M,Yes,No
2013,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2014,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2015,1,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2016,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2016,6,Klance,Keith,Lance,Voltron: Legendary Defender,M/M,No,No
2017,1,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2018,1,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2019,2,Klance,Keith Kogane,Lance McClain,Voltron: Legendary Defender,M/M,No,No
2020,20,Klance,Keith,Lance,Voltron: Legendary Defender,M/M,No,No
