year,rank,name,character 1,character 2,show,pairs,canon,rpf
2013,1,MakoHaru,Nanase Haruka,Tachibana Makoto,Free!,M/M,No,No
2013,2,J2,Jared Padalecki,Jensen Ackles,actors,M/M,No,Yes
2013,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2013,4,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2013,5,Johnlock,John Watson,Sherlock,Sherlock,M/M,No,No
2013,6,Sterek,Stiles Stilinski,Derek Hale,Teen Wolf,M/M,No,No
2013,7,Nouis,Niall Horan,Louis Tomlinson,One Direction,M/M,No,Yes
2013,8,Zarry,Zayn Malik,Harry Styles,One Direction,M/M,No,Yes
2013,9,Ereri,Levi Ackerman,Eren Yeager,Attack on Titan,M/M,No,No
2013,10,Ziam,Zayn Malik,Liam Payne,One Direction,M/M,No,Yes
2013,11,Narry,Niall Horan,Harry Styles,One Direction,M/M,No,Yes
2013,12,Klaine,Blaine Anderson,Kurt Hummel,Glee,M/M,Yes,No
2013,13,Delena,Damon Salvatore,Elena Gilbert,The Vampire Diaries,F/M,Yes,No
2013,14,Niam,Niall Horan,Liam Payne,One Direction,M/M,No,Yes
2013,15,Ziall,Zayn Malik,Niall Horan,One Direction,M/M,No,Yes
2013,16,Merthur,Merlin,Arthur Pendragon,Merlin,M/M,No,No
2013,17,Lilo,Liam Payne,Louis Tomlinson,One Direction,M/M,No,Yes
2013,18,Wincest,Dean Winchester,Sam Winchester,Supernatural,M/M,No,No
2013,19,Elounor,Eleanor Calder,Louis Tomlinson,One Direction,F/M,Yes,Yes
2013,20,Zouis,Zayn Malik,Louis Tomlinson,One Direction,M/M,No,Yes
2014,1,Destiel,Dean Winchester,Castiel,Supernatural,M/M,Yes,No
2014,2,Johnlock,John Watson,Sherlock Holmes,Sherlock,M/M,No,No
2014,3,Larry Stylinson,Harry Styles,Louis Tomlinson,One Direction,M/M,No,Yes
2014,4,Captain Swan,Captain Hook,Emma Swan,Once Upon a Time,F/M,Yes,No
2014,5,Ereri,Eren Jaeger,Levi Ackerman,Attack on Titan,M/M,No,No
2014,6,Sterek,Stiles Stilinski,Derek Hale,Teen Wolf,M/M,No,No
2014,7,Troyler,Troye Sivan,Tyler Oakley,YouTubers,M/M,No,Yes
2014,8,MakoHaru,Makoto Tachibana,Haruka Nanase,Free!,M/M,No,No
2014,9,Narry,Harry Styles,Niall Horan,One Direction,M/M,No,Yes
2014,10,JeanMarco,Jean Kirstein,Marco Bott,Attack on Titan,M/M,No,No
2014,11,HaruRin,Haruka Nanase,Rin Matsuoka,Free!,M/M,No,No
2014,12,Delena,Damon Salvatore,Elena Gilbert,The Vampire Diaries,F/M,Yes,No
